Jahr,Beschaeftigungsverhaeltnis,Geschlecht,Wert
2019-01-01T00:00:00.000Z,Sonstiges Personal,weiblich,40513.0
2023-01-01T00:00:00.000Z,Sonstige Hilfskräfte,weiblich,3949.0
2020-01-01T00:00:00.000Z,Bibliothekspersonal,männlich,2443.0
2022-01-01T00:00:00.000Z,Auszubildende,männlich,6630.0
2020-01-01T00:00:00.000Z,Verwaltungspersonal,weiblich,83918.0
2021-01-01T00:00:00.000Z,Arbeiter,weiblich,
2022-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,weiblich,
2023-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,weiblich,
2019-01-01T00:00:00.000Z,Bibliothekspersonal,weiblich,7483.0
2022-01-01T00:00:00.000Z,Bibliothekspersonal,weiblich,6969.0
2023-01-01T00:00:00.000Z,Verwaltungspersonal,männlich,29663.0
2022-01-01T00:00:00.000Z,Dozenten und Assistenten,weiblich,1533.0
2019-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,männlich,65588.0
2020-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,weiblich,
2023-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",weiblich,279.0
2023-01-01T00:00:00.000Z,Praktikanten,weiblich,2044.0
2021-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,männlich,21088.0
2023-01-01T00:00:00.000Z,Dozenten und Assistenten,weiblich,1549.0
2021-01-01T00:00:00.000Z,Dozenten und Assistenten,weiblich,1525.0
2021-01-01T00:00:00.000Z,Technisches Personal,weiblich,25028.0
2022-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,weiblich,21707.0
2022-01-01T00:00:00.000Z,Arbeiter,weiblich,
2021-01-01T00:00:00.000Z,Praktikanten,männlich,790.0
2021-01-01T00:00:00.000Z,Professoren,weiblich,13664.0
2021-01-01T00:00:00.000Z,Pflegepersonal,weiblich,66096.0
2021-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,männlich,67805.0
2021-01-01T00:00:00.000Z,Sonstige Hilfskräfte,männlich,2253.0
2020-01-01T00:00:00.000Z,Sonstige Hilfskräfte,männlich,2073.0
2019-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,männlich,
2023-01-01T00:00:00.000Z,Sonstiges Personal,männlich,14511.0
2023-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,männlich,66449.0
2021-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,weiblich,
2023-01-01T00:00:00.000Z,Technisches Personal,weiblich,26577.0
2020-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,weiblich,
2021-01-01T00:00:00.000Z,Sonstiges Personal,männlich,14701.0
2021-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,weiblich,
2023-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,weiblich,
2023-01-01T00:00:00.000Z,Auszubildende,weiblich,17392.0
2019-01-01T00:00:00.000Z,Verwaltungspersonal,männlich,25167.0
2019-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",männlich,1496.0
2021-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,weiblich,22245.0
2019-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,weiblich,20934.0
2021-01-01T00:00:00.000Z,Auszubildende,männlich,6452.0
2019-01-01T00:00:00.000Z,Sonstige Hilfskräfte,männlich,2455.0
2023-01-01T00:00:00.000Z,Bibliothekspersonal,männlich,2390.0
2020-01-01T00:00:00.000Z,Sonstige Hilfskräfte,weiblich,3494.0
2019-01-01T00:00:00.000Z,Verwaltungspersonal,weiblich,81817.0
2021-01-01T00:00:00.000Z,Verwaltungspersonal,weiblich,85799.0
2020-01-01T00:00:00.000Z,Auszubildende,weiblich,16137.0
2023-01-01T00:00:00.000Z,Technisches Personal,männlich,33722.0
2023-01-01T00:00:00.000Z,Auszubildende,männlich,6655.0
2022-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,männlich,20218.0
2020-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",weiblich,259.0
2023-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,männlich,
2019-01-01T00:00:00.000Z,Sonstige Hilfskräfte,weiblich,3469.0
2023-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,weiblich,19188.0
2019-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,männlich,22520.0
2020-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,männlich,
2023-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,männlich,
2019-01-01T00:00:00.000Z,Professoren,männlich,36139.0
2021-01-01T00:00:00.000Z,Auszubildende,weiblich,16778.0
2020-01-01T00:00:00.000Z,Arbeiter,weiblich,
2020-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,männlich,64492.0
2023-01-01T00:00:00.000Z,Arbeiter,männlich,
2020-01-01T00:00:00.000Z,Sonstiges Personal,weiblich,41609.0
2022-01-01T00:00:00.000Z,Technisches Personal,männlich,33601.0
2022-01-01T00:00:00.000Z,Verwaltungspersonal,weiblich,88603.0
2020-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,männlich,5037.0
2022-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,männlich,
2019-01-01T00:00:00.000Z,Arbeiter,männlich,
2019-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,weiblich,5662.0
2019-01-01T00:00:00.000Z,Technisches Personal,männlich,32343.0
2020-01-01T00:00:00.000Z,Sonstiges Personal,männlich,14422.0
