Jahr,Bundesland,Hochschulart,Faechergruppe,Wert_EUR
2019-01-01T00:00:00.000Z,Bayern,Verwaltungsfachhochschulen,Sport,
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Kunsthochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Baden-Württemberg,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Hamburg,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",890000.0
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Universitäten (ohne Medizinische Einrichtungen),Geisteswissenschaften,1.4447E7
2021-01-01T00:00:00.000Z,Sachsen-Anhalt,Pädagogische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Hessen,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,1.38287E8
2021-01-01T00:00:00.000Z,Saarland,Kunsthochschulen,"Kunst, Kunstwissenschaft",0.0
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Kunsthochschulen,Ingenieurwissenschaften,0.0
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Kunsthochschulen,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Bayern,Fachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",1.1469E7
2021-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Berlin,Theologische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Bremen,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Bremen,Pädagogische Hochschulen,Geisteswissenschaften,
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Pädagogische Hochschulen,Ingenieurwissenschaften,
2022-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Brandenburg,Medizinische Einrichtungen der Universitäten,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",1.0024E7
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Niedersachsen,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),100000.0
2022-01-01T00:00:00.000Z,Niedersachsen,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Berlin,Fachhochschulen,"Kunst, Kunstwissenschaft",1001000.0
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Kunst, Kunstwissenschaft",453000.0
2020-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Fachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1788000.0
2020-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2020-01-01T00:00:00.000Z,Baden-Württemberg,Medizinische Einrichtungen der Universitäten,"Kunst, Kunstwissenschaft",
2020-01-01T00:00:00.000Z,Niedersachsen,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2019-01-01T00:00:00.000Z,Bremen,Verwaltungsfachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Bayern,Theologische Hochschulen,Geisteswissenschaften,2941000.0
2020-01-01T00:00:00.000Z,Brandenburg,Kunsthochschulen,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Saarland,Fachhochschulen,Ingenieurwissenschaften,5576000.0
2020-01-01T00:00:00.000Z,Sachsen,Universitäten (ohne Medizinische Einrichtungen),Sport,5064000.0
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Fachhochschulen,"Mathematik, Naturwissenschaften",8610000.0
2019-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,Ingenieurwissenschaften,
2021-01-01T00:00:00.000Z,Saarland,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",1.2441E7
2020-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.3718E7
2021-01-01T00:00:00.000Z,Niedersachsen,Theologische Hochschulen,Sport,
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Fachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",2387000.0
2020-01-01T00:00:00.000Z,Hessen,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",2.3272E7
2020-01-01T00:00:00.000Z,Berlin,Pädagogische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
