Jahr,LehrForschungsbereich,Geschlecht,Wert
2019-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,männlich,5.0
2022-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,weiblich,721.0
2022-01-01T00:00:00.000Z,Pharmazie,weiblich,770.0
2020-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",weiblich,133.0
2019-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,weiblich,3810.0
2022-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",weiblich,1244.0
2021-01-01T00:00:00.000Z,Vermessungswesen,weiblich,186.0
2022-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),weiblich,2350.0
2019-01-01T00:00:00.000Z,Gesundheitswissenschaften,männlich,716.0
2020-01-01T00:00:00.000Z,Sonderpädagogik,weiblich,
2020-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),weiblich,24088.0
2020-01-01T00:00:00.000Z,Wirtschaftswissenschaften,weiblich,5758.0
2022-01-01T00:00:00.000Z,Elektro- und Informationstechnik,männlich,7934.0
2019-01-01T00:00:00.000Z,Biologie,männlich,5052.0
2023-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,männlich,12.0
2020-01-01T00:00:00.000Z,Chemie,männlich,7456.0
2019-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,weiblich,927.0
2021-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,männlich,196.0
2019-01-01T00:00:00.000Z,Mathematik,weiblich,1629.0
2022-01-01T00:00:00.000Z,Philosophie,männlich,1091.0
2023-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,männlich,360.0
2022-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),männlich,1083.0
2021-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",männlich,593.0
2021-01-01T00:00:00.000Z,Romanistik,weiblich,822.0
2021-01-01T00:00:00.000Z,Katholische Theologie,weiblich,348.0
2019-01-01T00:00:00.000Z,Politikwissenschaft,weiblich,741.0
2021-01-01T00:00:00.000Z,Sonderpädagogik,weiblich,
2021-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,weiblich,3365.0
2021-01-01T00:00:00.000Z,Evangelische Theologie,weiblich,472.0
2023-01-01T00:00:00.000Z,Soziale Einrichtungen,weiblich,9.0
2021-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,weiblich,20.0
2023-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),männlich,6397.0
2022-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,weiblich,85.0
2021-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,männlich,654.0
2023-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",weiblich,151.0
2020-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,weiblich,114.0
2020-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",männlich,1389.0
2023-01-01T00:00:00.000Z,Philosophie,männlich,1019.0
2023-01-01T00:00:00.000Z,Ernährungs- und Haushaltswissenschaften,männlich,208.0
2021-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,männlich,219.0
2019-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",männlich,166.0
2022-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,weiblich,23.0
2022-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,männlich,195.0
2022-01-01T00:00:00.000Z,Sport,weiblich,998.0
2021-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",weiblich,257.0
2020-01-01T00:00:00.000Z,Philosophie,weiblich,635.0
2022-01-01T00:00:00.000Z,"Physik, Astronomie",männlich,9074.0
2019-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),männlich,297.0
2020-01-01T00:00:00.000Z,Bauingenieurwesen,weiblich,1263.0
2020-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",weiblich,259.0
2022-01-01T00:00:00.000Z,Soziale Einrichtungen,weiblich,5.0
2021-01-01T00:00:00.000Z,Ernährungs- und Haushaltswissenschaften,männlich,262.0
2023-01-01T00:00:00.000Z,Raumplanung,männlich,368.0
2019-01-01T00:00:00.000Z,Medienwissenschaft,männlich,
2021-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),männlich,2102.0
2021-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,weiblich,707.0
2019-01-01T00:00:00.000Z,Wirtschaftswissenschaften,männlich,10867.0
2020-01-01T00:00:00.000Z,"Musik, Musikwissenschaft",weiblich,1081.0
2022-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,männlich,1439.0
2020-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),männlich,2150.0
2021-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),männlich,2102.0
2019-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",männlich,506.0
2022-01-01T00:00:00.000Z,Ernährungs- und Haushaltswissenschaften,weiblich,416.0
2019-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",männlich,469.0
2019-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,weiblich,89.0
2023-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",männlich,1165.0
2023-01-01T00:00:00.000Z,Bildende Kunst,männlich,440.0
2021-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",männlich,169.0
2021-01-01T00:00:00.000Z,Hochschulrechenzentrum,männlich,842.0
2022-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,weiblich,522.0
2020-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",männlich,305.0
2021-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,männlich,237.0
2020-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,weiblich,142.0
2019-01-01T00:00:00.000Z,Humanmedizin allgemein,weiblich,322.0
2020-01-01T00:00:00.000Z,Politikwissenschaft,weiblich,792.0
2019-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),weiblich,22762.0
2022-01-01T00:00:00.000Z,Psychologie,weiblich,3586.0
2022-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,männlich,709.0
2019-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),weiblich,955.0
2022-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,weiblich,112.0
2019-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),männlich,2166.0
2021-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",männlich,441.0
2019-01-01T00:00:00.000Z,Sozialwesen,weiblich,1521.0
2023-01-01T00:00:00.000Z,Psychologie,männlich,2205.0
2022-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,männlich,236.0
2019-01-01T00:00:00.000Z,Evangelische Theologie,männlich,697.0
2020-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",männlich,2046.0
2019-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",männlich,620.0
2020-01-01T00:00:00.000Z,Humanmedizin allgemein,weiblich,442.0
2023-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",männlich,592.0
2023-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,männlich,1914.0
2020-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",männlich,158.0
2021-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),weiblich,24687.0
2021-01-01T00:00:00.000Z,Politikwissenschaft,männlich,1198.0
2019-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,männlich,204.0
2019-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",weiblich,138.0
2021-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",männlich,377.0
2023-01-01T00:00:00.000Z,Romanistik,männlich,418.0
2020-01-01T00:00:00.000Z,Katholische Theologie,weiblich,343.0
2019-01-01T00:00:00.000Z,Raumplanung,männlich,353.0
2021-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,männlich,87.0
2021-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),männlich,1079.0
2021-01-01T00:00:00.000Z,Bauingenieurwesen,männlich,3572.0
2019-01-01T00:00:00.000Z,Geschichte,männlich,1889.0
2019-01-01T00:00:00.000Z,Regionalwissenschaften,männlich,86.0
2020-01-01T00:00:00.000Z,Informatik,männlich,9533.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",männlich,102.0
2020-01-01T00:00:00.000Z,Gesundheitswissenschaften,männlich,775.0
2021-01-01T00:00:00.000Z,Gesundheitswissenschaften,männlich,823.0
2023-01-01T00:00:00.000Z,Veterinärmedizin allgemein,weiblich,10.0
2023-01-01T00:00:00.000Z,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",weiblich,427.0
2022-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",männlich,247.0
2020-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),weiblich,1032.0
2023-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,männlich,80.0
2023-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,weiblich,86.0
2020-01-01T00:00:00.000Z,Romanistik,weiblich,835.0
2022-01-01T00:00:00.000Z,Rechtswissenschaften,männlich,3586.0
2020-01-01T00:00:00.000Z,Psychologie,weiblich,3302.0
2020-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",weiblich,233.0
2019-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,weiblich,
2020-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,weiblich,2027.0
2022-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),weiblich,179.0
2021-01-01T00:00:00.000Z,Bildende Kunst,männlich,436.0
2022-01-01T00:00:00.000Z,Architektur,männlich,1663.0
2021-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,weiblich,153.0
2019-01-01T00:00:00.000Z,Zentralbibliothek,weiblich,229.0
2020-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,männlich,1712.0
2023-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,männlich,221.0
2019-01-01T00:00:00.000Z,Gestaltung,männlich,917.0
2023-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,weiblich,185.0
2020-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,männlich,14010.0
2021-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,weiblich,120.0
2019-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,weiblich,161.0
2019-01-01T00:00:00.000Z,Hochschulrechenzentrum,weiblich,213.0
2022-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",weiblich,326.0
2019-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,männlich,16.0
2020-01-01T00:00:00.000Z,Gestaltung,weiblich,683.0
2020-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",männlich,165.0
2020-01-01T00:00:00.000Z,Mathematik,männlich,4396.0
